,AP_T05,AP_T07,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C
AP_T05,0.0,12.244898,14.285714,14.285714,16.32653,20.408163,13.265306,8.163265,24.489796,13.605442,8.163265,28.571428,8.163265,14.285714,14.285714,14.285714,14.285714,28.571428,10.204082,12.244898,14.285714,14.285714,8.163265,14.285714,18.367348,16.32653,12.234694,14.285714
AP_T07,12.244898,0.0,18.367348,18.367348,20.408163,24.489796,21.428572,12.244898,28.571428,17.687075,12.244898,32.65306,16.32653,16.32653,18.367348,18.367348,18.367348,24.489796,14.285714,16.32653,18.367348,18.367348,12.244898,18.367348,18.367348,24.489796,14.132653,18.367348
BALD,14.285714,18.367348,0.0,2.0408163,4.0816326,6.122449,7.142857,10.204082,10.204082,1.3605443,10.204082,14.285714,14.285714,18.367348,10.204082,0.0,0.0,30.612246,12.244898,8.163265,0.0,2.0408163,10.204082,2.0408163,16.32653,10.204082,8.520409,2.0408163
BLAC,14.285714,18.367348,2.0408163,0.0,2.0408163,8.163265,9.183674,10.204082,12.244898,1.3605443,10.204082,16.32653,12.244898,16.32653,8.163265,2.0408163,2.0408163,30.612246,12.244898,6.122449,2.0408163,0.0,10.204082,0.0,14.285714,12.244898,8.071428,2.0408163
BORD,16.32653,20.408163,4.0816326,2.0408163,0.0,10.204082,11.22449,12.244898,14.285714,3.4013608,12.244898,14.285714,10.204082,14.285714,10.204082,4.0816326,4.0816326,32.65306,14.285714,4.0816326,4.0816326,2.0408163,12.244898,2.0408163,16.32653,10.204082,8.969388,4.0816326
BUCK_I,20.408163,24.489796,6.122449,8.163265,10.204082,0.0,9.183674,16.32653,4.0816326,7.482993,16.32653,8.163265,20.408163,24.489796,12.244898,6.122449,6.122449,36.734695,18.367348,14.285714,6.122449,8.163265,16.32653,8.163265,22.44898,16.32653,14.561225,8.163265
BUCK_R,13.265306,21.428572,7.142857,9.183674,11.22449,9.183674,0.0,13.265306,13.265306,8.503402,13.265306,17.34694,13.265306,19.387754,7.142857,7.142857,7.142857,35.714287,15.306123,11.22449,7.142857,9.183674,13.265306,9.183674,19.387754,7.142857,11.459184,9.183674
CAIR,8.163265,12.244898,10.204082,10.204082,12.244898,16.32653,13.265306,0.0,20.408163,9.523809,0.0,24.489796,12.244898,16.32653,10.204082,10.204082,10.204082,26.530613,2.0408163,8.163265,10.204082,10.204082,0.0,10.204082,12.244898,16.32653,7.785714,10.204082
COOM,24.489796,28.571428,10.204082,12.244898,14.285714,4.0816326,13.265306,20.408163,0.0,11.564626,20.408163,4.0816326,24.489796,28.571428,16.32653,10.204082,10.204082,40.816326,22.44898,18.367348,10.204082,12.244898,20.408163,12.244898,26.530613,16.32653,18.642857,12.244898
COPE,13.605442,17.687075,1.3605443,1.3605443,3.4013608,7.482993,8.503402,9.523809,11.564626,0.0,9.523809,15.646258,13.605442,17.687075,9.523809,1.3605443,1.3605443,29.931973,11.564626,7.482993,1.3605443,1.3605443,9.523809,1.3605443,15.646258,11.564626,8.595238,2.0408163
HARE,8.163265,12.244898,10.204082,10.204082,12.244898,16.32653,13.265306,0.0,20.408163,9.523809,0.0,24.489796,12.244898,16.32653,10.204082,10.204082,10.204082,26.530613,2.0408163,8.163265,10.204082,10.204082,0.0,10.204082,12.244898,16.32653,7.785714,10.204082
KIMR,28.571428,32.65306,14.285714,16.32653,14.285714,8.163265,17.34694,24.489796,4.0816326,15.646258,24.489796,0.0,24.489796,28.571428,20.408163,14.285714,14.285714,44.89796,26.530613,18.367348,14.285714,16.32653,24.489796,16.32653,30.612246,16.32653,21.581633,16.32653
L4DV,8.163265,16.32653,14.285714,12.244898,10.204082,20.408163,13.265306,12.244898,24.489796,13.605442,12.244898,24.489796,0.0,6.122449,14.285714,14.285714,14.285714,32.65306,14.285714,8.163265,14.285714,12.244898,12.244898,12.244898,18.367348,12.244898,12.010204,14.285714
